"Sikkens ON-00-90 ","on-00-90","#f1efec"
"Sikkens K0-09-85","k0-09-85","#d9efd2"
"Sikkens K2-20-80","k2-20-80","#b8e4af"
"Sikkens K2-20-70","k2-20-70","#a3c99b"
"Sikkens K2-20-60","k2-20-60","#89ab80"
"Sikkens K2-20-50","k2-20-50","#779371"
"Sikkens K2-20-45","k2-20-45","#647e62"
"Sikkens K2-20-40","k2-20-40","#5c7457"
"Sikkens K2-20-30","k2-20-30","#485c44"
"Sikkens K2-09-79","k2-09-79","#c7dac0"
"Sikkens K2-10-70","k2-10-70","#b1c4a9"
"Sikkens K2-15-65","k2-15-65","#a1ba9a"
"Sikkens K2-10-60","k2-10-60","#9aa996"
"Sikkens K2-10-50","k2-10-50","#7f8d79"
"Sikkens K2-10-40","k2-10-40","#64705f"
"Sikkens K2-10-30","k2-10-30","#505a4c"
"Sikkens K2-10-20","k2-10-20","#3e433a"
"Sikkens KN-02-87","kn-02-87","#ecf2e6"
"Sikkens K2-05-85","k2-05-85","#e4eddf"
"Sikkens K2-05-75","k2-05-75","#c9d2c4"
"Sikkens K2-05-65","k2-05-65","#a7b1a4"
"Sikkens K2-05-50","k2-05-50","#82887e"
"Sikkens K2-05-43","k2-05-43","#72786f"
"Sikkens K3-06-34","k3-06-34","#5d625b"
"Sikkens K2-05-25","k2-05-25","#454a42"
"Sikkens LN-02-88","ln-02-88","#e8f0ea"
"Sikkens LN-02-86","ln-02-86","#e6efe8"
"Sikkens LN-02-77","ln-02-77","#ccd3ca"
"Sikkens LN-02-67","ln-02-67","#b4b9b2"
"Sikkens LN-02-57","ln-02-57","#979b96"
"Sikkens LN-02-47","ln-02-47","#7c7f7a"
"Sikkens LN-02-37","ln-02-37","#636863"
"Sikkens LN-02-27","ln-02-27","#4e514d"
"Sikkens L0-03-88","l0-03-88","#d8e3d9"
"Sikkens L0-04-78","l0-04-78","#cbd8cc"
"Sikkens L0-05-75","l0-05-75","#c2cfc2"
"Sikkens L0-05-65","l0-05-65","#a9b3aa"
"Sikkens L0-05-55","l0-05-55","#8f998f"
"Sikkens L0-05-45","l0-05-45","#757d75"
"Sikkens L0-05-35","l0-05-35","#5e655e"
"Sikkens L0-05-25","l0-05-25","#494f49"
"Sikkens L0-05-85","l0-05-85","#dbecdc"
"Sikkens L0-07-82","l0-07-82","#d0e6d2"
"Sikkens L0-07-77","l0-07-77","#c4dbc6"
"Sikkens L0-10-70","l0-10-70","#b2c9b4"
"Sikkens L0-10-60","l0-10-60","#90a493"
"Sikkens L0-10-50","l0-10-50","#7e9081"
"Sikkens L0-10-40","l0-10-40","#627365"
"Sikkens L0-10-30","l0-10-30","#4f5c51"
"Sikkens L3-10-82","l3-10-82","#c8e9d2"
"Sikkens L0-15-75","l0-15-75","#abd4af"
"Sikkens L0-15-65","l0-15-65","#93b89b"
"Sikkens L0-15-55","l0-15-55","#7f9d82"
"Sikkens K8-23-45","k8-23-45","#628765"
"Sikkens L0-20-30","l0-20-30","#445e49"
"Sikkens L0-20-20","l0-20-20","#304635"
"Sikkens L0-15-20","l0-15-20","#38463a"
"Sikkens L0-10-80","l0-10-80","#c0dfc5"
"Sikkens L0-20-70","l0-20-70","#96c69f"
"Sikkens L0-20-60","l0-20-60","#81ab87"
"Sikkens L0-20-50","l0-20-50","#6c9473"
"Sikkens L0-20-40","l0-20-40","#5b7760"
"Sikkens L0-30-30","l0-30-30","#315c3c"
"Sikkens L0-35-20","l0-35-20","#294833"
"Sikkens L0-20-15","l0-20-15","#2c3e32"
"Sikkens L3-17-75","l3-17-75","#99d3b0"
"Sikkens L0-30-60","l0-30-60","#65ad7b"
"Sikkens L0-30-50","l0-30-50","#569567"
"Sikkens L0-30-40","l0-30-40","#407950"
"Sikkens L0-40-35","l0-40-35","#377349"
"Sikkens L0-40-30","l0-40-30","#28613d"
"Sikkens L0-30-20","l0-30-20","#294730"
"Sikkens L0-15-15","l0-15-15","#2d372d"
"Sikkens L0-30-70","l0-30-70","#80d195"
"Sikkens L0-40-60","l0-40-60","#54b975"
"Sikkens L0-50-50","l0-50-50","#269951"
"Sikkens L0-40-50","l0-40-50","#42945e"
"Sikkens L0-40-40","l0-40-40","#307849"
"Sikkens L0-50-40","l0-50-40","#1f8246"
"Sikkens L0-70-40","l0-70-40","#008339"
"Sikkens L0-50-30","l0-50-30","#1c6e3d"
"Sikkens L9-13-79","l9-13-79","#b2e2c7"
"Sikkens L5-21-73","l5-21-73","#92d3ae"
"Sikkens L4-32-66","l4-32-66","#66c890"
"Sikkens L8-40-60","l8-40-60","#36ba82"
"Sikkens L5-47-52","l5-47-52","#06a269"
"Sikkens L5-60-43","l5-60-43","#008d4f"
"Sikkens L5-63-33","l5-63-33","#007241"
"Sikkens L6-59-23","l6-59-23","#005633"
"Sikkens L8-20-70","l8-20-70","#8dccac"
"Sikkens L8-30-70","l8-30-70","#68ce9f"
"Sikkens L8-30-60","l8-30-60","#62b68f"
"Sikkens L8-50-50","l8-50-50","#00a067"
"Sikkens L8-50-40","l8-50-40","#008355"
"Sikkens L8-40-35","l8-40-35","#187553"
"Sikkens L8-40-30","l8-40-30","#176547"
"Sikkens L8-50-30","l8-50-30","#006746"
"Sikkens L8-05-85","l8-05-85","#dbeddf"
"Sikkens L8-05-75","l8-05-75","#bfcec4"
"Sikkens L8-10-60","l8-10-60","#92ab9d"
"Sikkens L8-19-60","l8-19-60","#74ae91"
"Sikkens L8-20-50","l8-20-50","#63927a"
"Sikkens L8-30-50","l8-30-50","#499771"
"Sikkens L8-30-40","l8-30-40","#3a795c"
"Sikkens L8-30-30","l8-30-30","#33604b"
"Sikkens M5-09-83","m5-09-83","#cdecdb"
"Sikkens L8-10-80","l8-10-80","#bcdfca"
"Sikkens L9-17-79","l9-17-79","#ace6c9"
"Sikkens M2-20-75","m2-20-75","#8ad5ba"
"Sikkens M2-40-60","m2-40-60","#2eba8c"
"Sikkens M2-30-60","m2-30-60","#5ab592"
"Sikkens M2-40-50","m2-40-50","#129d76"
"Sikkens M2-30-50","m2-30-50","#489779"
"Sikkens M8-06-85","m8-06-85","#d6efe4"
"Sikkens N0-12-78","n0-12-78","#b0ddcf"
"Sikkens N1-21-65","n1-21-65","#77c0b1"
"Sikkens N1-37-55","n1-37-55","#1ca893"
"Sikkens N0-40-50","n0-40-50","#009680"
"Sikkens N0-50-50","n0-50-50","#009c82"
"Sikkens N0-50-40","n0-50-40","#00816b"
"Sikkens N0-40-30","n0-40-30","#006557"
"Sikkens M8-11-81","m8-11-81","#c0e8d9"
"Sikkens M8-19-72","m8-19-72","#8bd3c3"
"Sikkens N0-28-70","n0-28-70","#63d0b7"
"Sikkens N0-30-60","n0-30-60","#55b3a0"
"Sikkens N0-30-50","n0-30-50","#3c9885"
"Sikkens N0-40-40","n0-40-40","#00806c"
"Sikkens N0-30-40","n0-30-40","#2f7768"
"Sikkens N0-40-20","n0-40-20","#064e42"
"Sikkens N0-10-80","n0-10-80","#bcdfd6"
"Sikkens N0-20-70","n0-20-70","#89c8b8"
"Sikkens N0-20-60","n0-20-60","#78b2a2"
"Sikkens N0-20-50","n0-20-50","#5f9688"
"Sikkens N0-20-40","n0-20-40","#49786c"
"Sikkens N0-20-30","n0-20-30","#3a6056"
"Sikkens N0-20-20","n0-20-20","#29463f"
"Sikkens N0-15-10","n0-15-10","#293330"
"Sikkens N0-05-85","n0-05-85","#deece8"
"Sikkens N8-09-81","n8-09-81","#c4e7e3"
"Sikkens N0-10-70","n0-10-70","#a5c7bc"
"Sikkens N0-10-60","n0-10-60","#91aea5"
"Sikkens N0-10-50","n0-10-50","#748d85"
"Sikkens N0-10-40","n0-10-40","#5c716b"
"Sikkens N0-10-30","n0-10-30","#495a55"
"Sikkens N0-10-20","n0-10-20","#3b4542"
"Sikkens NN-01-84","nn-01-84","#e3e5e3"
"Sikkens N7-04-73","n7-04-73","#bdccc9"
"Sikkens N6-08-70","n6-08-70","#abc4bf"
"Sikkens N1-06-88","n1-06-88","#acbdb8"
"Sikkens N0-05-65","n0-05-65","#acb8b4"
"Sikkens N1-05-55","n1-05-55","#8a9894"
"Sikkens N0-05-44","n0-05-44","#727c79"
"Sikkens M8-06-34","m8-06-34","#5a6561"
"Sikkens PN-02-82","pn-02-82","#dae4e2"
"Sikkens PN-02-77","pn-02-77","#cbd4d2"
"Sikkens P0-05-75","p0-05-75","#bfd0cc"
"Sikkens P0-05-65","p0-05-65","#a5b4b2"
"Sikkens P0-03-60","p0-03-60","#a0a7a5"
"Sikkens P0-03-55","p0-03-55","#8d9494"
"Sikkens P0-03-35","p0-03-35","#5b6462"
"Sikkens P0-05-25","p0-05-25","#484e4d"
"Sikkens P0-05-83","p0-05-83","#d3e6e2"
"Sikkens P0-07-85","p0-07-85","#d4eae6"
"Sikkens P0-07-77","p0-07-77","#bfd9d6"
"Sikkens P0-06-74","p0-06-74","#b9d0cd"
"Sikkens P5-08-58","p5-08-58","#90a4a4"
"Sikkens P0-05-55","p0-05-55","#8a9996"
"Sikkens P0-05-45","p0-05-45","#778280"
"Sikkens P0-10-30","p0-10-30","#475b59"
"Sikkens P1-03-79","p1-03-79","#d3dedc"
"Sikkens P0-04-78","p0-04-78","#c8d8d6"
"Sikkens P0-10-70","p0-10-70","#a3c5c1"
"Sikkens P1-11-63","p1-11-63","#93b2b1"
"Sikkens P0-10-60","p0-10-60","#8faaa7"
"Sikkens P0-10-50","p0-10-50","#76908e"
"Sikkens P0-10-40","p0-10-40","#617575"
"Sikkens P0-10-20","p0-10-20","#354341"
"Sikkens P4-10-75","p4-10-75","#b2d0cf"
"Sikkens P1-09-69","p1-09-69","#a6c2c1"
"Sikkens P0-15-65","p0-15-65","#8ab9b5"
"Sikkens P0-15-55","p0-15-55","#749c99"
"Sikkens P0-15-45","p0-15-45","#62817e"
"Sikkens P0-15-35","p0-15-35","#4c6a68"
"Sikkens P0-20-30","p0-20-30","#395e5b"
"Sikkens P0-20-20","p0-20-20","#2a4544"
"Sikkens P0-10-80","p0-10-80","#bde3df"
"Sikkens P0-20-70","p0-20-70","#81cbc5"
"Sikkens P0-20-60","p0-20-60","#6eafaa"
"Sikkens P0-20-50","p0-20-50","#5e9491"
"Sikkens P0-30-40","p0-30-40","#337f7b"
"Sikkens P0-20-40","p0-20-40","#4e7a78"
"Sikkens P0-30-30","p0-30-30","#25635f"
"Sikkens P0-30-25","p0-30-25","#1e5553"
"Sikkens P0-15-75","p0-15-75","#a1d7d1"
"Sikkens P0-30-60","p0-30-60","#50b5b2"
"Sikkens P0-30-50","p0-30-50","#3b9691"
"Sikkens P0-40-50","p0-40-50","#009b97"
"Sikkens P0-50-40","p0-50-40","#00827f"
"Sikkens P0-40-40","p0-40-40","#007e7a"
"Sikkens P0-50-30","p0-50-30","#006663"
"Sikkens P0-40-30","p0-40-30","#006866"
"Sikkens P2-11-80","p2-11-80","#bbe3e1"
"Sikkens P2-20-73","p2-20-73","#88d2d2"
"Sikkens P2-32-63","p2-32-63","#4abebe"
"Sikkens P3-35-53","p3-35-53","#24a0a5"
"Sikkens P3-40-44","p3-40-44","#00888a"
"Sikkens P2-46-33","p2-46-33","#006b6d"
"Sikkens P4-48-27","p4-48-27","#005d60"
"Sikkens Q0-40-20","q0-40-20","#004b51"
"Sikkens Q0-30-60","q0-30-60","#57aeb7"
"Sikkens Q0-30-50","q0-30-50","#3c949c"
"Sikkens P9-38-49","p9-38-49","#1195a2"
"Sikkens Q0-40-40","q0-40-40","#007c87"
"Sikkens Q0-50-40","q0-50-40","#00808d"
"Sikkens Q0-50-30","q0-50-30","#00656f"
"Sikkens Q0-40-30","q0-40-30","#006369"
"Sikkens Q0-50-20","q0-50-20","#004b52"
"Sikkens P9-14-77","p9-14-77","#aadbe0"
"Sikkens Q0-20-73","q0-20-73","#8fd2da"
"Sikkens Q0-29-65","q0-29-65","#62bfcb"
"Sikkens Q0-40-50","q0-40-50","#1f97a2"
"Sikkens Q0-30-40","q0-30-40","#27767e"
"Sikkens Q0-30-30","q0-30-30","#296067"
"Sikkens Q0-30-20","q0-30-20","#1b474b"
"Sikkens Q1-19-10","q1-19-10","#233335"
"Sikkens Q0-09-81","q0-09-81","#c4e1e5"
"Sikkens Q0-10-80","q0-10-80","#bedfe1"
"Sikkens Q0-20-70","q0-20-70","#8cc7d0"
"Sikkens Q0-20-60","q0-20-60","#7aaeb4"
"Sikkens Q0-20-50","q0-20-50","#5d9096"
"Sikkens Q0-20-40","q0-20-40","#4e7579"
"Sikkens Q0-20-30","q0-20-30","#34585c"
"Sikkens Q0-20-20","q0-20-20","#314a4d"
"Sikkens Q0-05-84","q0-05-84","#d9eaeb"
"Sikkens Q6-09-81","q6-09-81","#c9e4ea"
"Sikkens Q6-10-80","q6-10-80","#c4e3e9"
"Sikkens Q5-10-76","q5-10-76","#bbd8de"
"Sikkens Q0-10-70","q0-10-70","#a7c5c8"
"Sikkens Q0-10-60","q0-10-60","#91aaad"
"Sikkens Q0-10-50","q0-10-50","#778d90"
"Sikkens Q0-10-40","q0-10-40","#617578"
"Sikkens QN-02-88","qn-02-88","#eef4f3"
"Sikkens QN-02-78","qn-02-78","#d7dad9"
"Sikkens P9-05-75","p9-05-75","#c0d1d2"
"Sikkens Q0-05-65","q0-05-65","#a6b6b7"
"Sikkens Q0-05-55","q0-05-55","#939c9c"
"Sikkens Q5-05-44","q5-05-44","#717b7d"
"Sikkens Q0-10-30","q0-10-30","#4b5a5c"
"Sikkens Q0-10-20","q0-10-20","#343e3e"
"Sikkens R0-05-85","r0-05-85","#dbe8eb"
"Sikkens Q5-06-80","q5-06-80","#cbdce0"
"Sikkens R0-05-75","r0-05-75","#c4d3d6"
"Sikkens Q9-12-74","q9-12-74","#b0d1dc"
"Sikkens R0-10-60","r0-10-60","#94a9b0"
"Sikkens Q9-10-50","q9-10-50","#788b91"
"Sikkens Q9-10-40","q9-10-40","#627278"
"Sikkens R3-10-30","r3-10-30","#4f5c61"
"Sikkens R0-10-80","r0-10-80","#c3dce3"
"Sikkens Q7-15-76","q7-15-76","#abd8e3"
"Sikkens R0-20-70","r0-20-70","#92c7d9"
"Sikkens R0-20-60","r0-20-60","#7baab9"
"Sikkens R0-20-50","r0-20-50","#6a919e"
"Sikkens R0-30-40","r0-30-40","#3f7989"
"Sikkens R0-30-30","r0-30-30","#305f6c"
"Sikkens R0-20-15","r0-20-15","#25393e"
"Sikkens R0-13-77","r0-13-77","#b6d9e4"
"Sikkens R1-17-73","r1-17-73","#a1cedc"
"Sikkens R1-23-72","r1-23-72","#92cde1"
"Sikkens R0-30-60","r0-30-60","#6bafc4"
"Sikkens R0-30-50","r0-30-50","#4c94a5"
"Sikkens R0-40-40","r0-40-40","#147a92"
"Sikkens R0-40-30","r0-40-30","#005f6f"
"Sikkens R0-28-19","r0-28-19","#244650"
"Sikkens R2-20-73","r2-20-73","#9cd0e3"
"Sikkens R2-22-66","r2-22-66","#88bdd1"
"Sikkens R2-29-68","r2-29-68","#7cc5df"
"Sikkens R2-33-55","r2-33-55","#51a2bd"
"Sikkens R0-40-50","r0-40-50","#2698b3"
"Sikkens R0-50-40","r0-50-40","#007e9a"
"Sikkens R0-50-30","r0-50-30","#00657b"
"Sikkens R1-35-23","r1-35-23","#1d505f"
"Sikkens R4-14-80","r4-14-80","#afd6e1"
"Sikkens R5-23-70","r5-23-70","#82bed6"
"Sikkens R5-37-56","r5-37-56","#49a3c5"
"Sikkens R4-42-47","r4-42-47","#2b8daf"
"Sikkens R5-52-49","r5-52-49","#0092bf"
"Sikkens R6-56-36","r6-56-36","#007093"
"Sikkens R7-43-26","r7-43-26","#165770"
"Sikkens R9-35-22","r9-35-22","#224d61"
"Sikkens R7-22-69","r7-22-69","#91c4dd"
"Sikkens R7-31-62","r7-31-62","#70b3d5"
"Sikkens R6-31-52","r6-31-52","#5898b3"
"Sikkens R7-33-47","r7-33-47","#4d8aa6"
"Sikkens R7-44-41","r7-44-41","#217da0"
"Sikkens R8-40-39","r8-40-39","#2d7494"
"Sikkens R8-33-36","r8-33-36","#356a82"
"Sikkens S0-40-20","s0-40-20","#01485e"
"Sikkens S0-30-60","s0-30-60","#70acce"
"Sikkens S0-40-60","s0-40-60","#4bb0da"
"Sikkens S0-50-50","s0-50-50","#0096c7"
"Sikkens S0-40-50","s0-40-50","#3c90b9"
"Sikkens S0-50-40","s0-50-40","#007ba5"
"Sikkens S0-40-40","s0-40-40","#257699"
"Sikkens S0-50-30","s0-50-30","#006185"
"Sikkens S0-40-30","s0-40-30","#185d7b"
"Sikkens S4-26-64","s4-26-64","#83b7db"
"Sikkens S1-38-56","s1-38-56","#51a3d0"
"Sikkens S4-43-49","s4-43-49","#3a90c2"
"Sikkens S4-43-46","s4-43-46","#2f88b6"
"Sikkens S3-56-42","s3-56-42","#0081ba"
"Sikkens S5-48-41","s5-48-41","#137cad"
"Sikkens S4-50-35","s4-50-35","#006893"
"Sikkens S5-44-30","s5-44-30","#105f83"
"Sikkens S1-13-73","s1-13-73","#b1cada"
"Sikkens S0-20-70","s0-20-70","#9ec7de"
"Sikkens S0-20-60","s0-20-60","#83a8bd"
"Sikkens S0-30-50","s0-30-50","#5691ae"
"Sikkens S0-30-40","s0-30-40","#467790"
"Sikkens S0-30-30","s0-30-30","#305c71"
"Sikkens S1-37-25","s1-37-25","#22526c"
"Sikkens S0-30-20","s0-30-20","#224658"
"Sikkens S0-10-80","s0-10-80","#c6e0eb"
"Sikkens S0-15-80","s0-15-80","#bfdbea"
"Sikkens S0-15-65","s0-15-65","#96b5c5"
"Sikkens S0-15-55","s0-15-55","#7e9aaa"
"Sikkens S0-20-50","s0-20-50","#6b8da1"
"Sikkens S0-20-40","s0-20-40","#547485"
"Sikkens S0-20-30","s0-20-30","#3e5865"
"Sikkens S0-20-20","s0-20-20","#334752"
"Sikkens S0-05-85","s0-05-85","#dbe8ee"
"Sikkens S0-11-78","s0-11-78","#bbd7e5"
"Sikkens S0-10-70","s0-10-70","#b4c7d2"
"Sikkens S0-10-60","s0-10-60","#98a8b2"
"Sikkens S0-10-50","s0-10-50","#7c8d96"
"Sikkens S0-10-40","s0-10-40","#66727a"
"Sikkens S0-10-30","s0-10-30","#4f5a60"
"Sikkens S0-10-20","s0-10-20","#384146"
"Sikkens SN-02-85","sn-02-85","#e5ebed"
"Sikkens SN-02-82","sn-02-82","#d9dfdf"
"Sikkens SN-02-77","sn-02-77","#ced2d3"
"Sikkens SN-02-67","sn-02-67","#b2b9bb"
"Sikkens SN-02-57","sn-02-57","#9b9ea0"
"Sikkens SN-02-47","sn-02-47","#7e8082"
"Sikkens SN-02-37","sn-02-37","#696b6c"
"Sikkens SN-02-27","sn-02-27","#525454"
"Sikkens S0-04-78","s0-04-78","#cdd6d9"
"Sikkens S0-07-77","s0-07-77","#c6d7de"
"Sikkens S0-05-75","s0-05-75","#c1cdd2"
"Sikkens S0-05-65","s0-05-65","#a7b1b6"
"Sikkens S0-05-55","s0-05-55","#92989a"
"Sikkens S0-05-45","s0-05-45","#787f83"
"Sikkens S0-05-35","s0-05-35","#606669"
"Sikkens S0-05-25","s0-05-25","#484d50"
"Sikkens S6-09-77","s6-09-77","#c4d3e2"
"Sikkens S2-10-71","s2-10-71","#afc4d1"
"Sikkens S3-10-73","s3-10-73","#b8cdda"
"Sikkens S8-10-65","s8-10-65","#a1b1c0"
"Sikkens S8-12-55","s8-12-55","#8798a7"
"Sikkens S8-15-41","s8-15-41","#637687"
"Sikkens S8-10-35","s8-10-35","#5b656e"
"Sikkens S8-14-17","s8-14-17","#343f49"
"Sikkens S2-07-80","s2-07-80","#cedde7"
"Sikkens S6-14-75","s6-14-75","#b7d2e7"
"Sikkens S8-12-68","s8-12-68","#aabdcf"
"Sikkens S6-15-65","s6-15-65","#9db6cd"
"Sikkens S7-19-60","s7-19-60","#89a7c2"
"Sikkens S6-29-43","s6-29-43","#527d9d"
"Sikkens S9-32-35","s9-32-35","#3e6989"
"Sikkens S8-22-29","s8-22-29","#43586d"
"Sikkens S7-17-72","s7-17-72","#abcae6"
"Sikkens S6-21-66","s6-21-66","#94bad9"
"Sikkens S7-27-61","s7-27-61","#80aed3"
"Sikkens S8-34-54","s8-34-54","#639bc9"
"Sikkens S9-35-56","s9-35-56","#6ba1d0"
"Sikkens S9-39-41","s9-39-41","#3c78a7"
"Sikkens S8-48-28","s8-48-28","#005a87"
"Sikkens T2-47-24","t2-47-24","#005282"
"Sikkens S8-16-73","s8-16-73","#b1cce6"
"Sikkens T0-20-70","t0-20-70","#a0bfdf"
"Sikkens S9-25-65","s9-25-65","#8ab5de"
"Sikkens T0-30-60","t0-30-60","#76a8d4"
"Sikkens T0-40-50","t0-40-50","#488fc6"
"Sikkens T0-50-40","t0-50-40","#007bb8"
"Sikkens T0-50-30","t0-50-30","#005f91"
"Sikkens T0-45-20","t0-45-20","#1f5072"
"Sikkens T0-12-73","t0-12-73","#b5c9de"
"Sikkens S9-18-69","s9-18-69","#a0bdda"
"Sikkens T0-20-60","t0-20-60","#86a5c2"
"Sikkens T6-39-52","t6-39-52","#6095d5"
"Sikkens T0-40-40","t0-40-40","#3476a6"
"Sikkens T0-45-35","t0-45-35","#1f6a99"
"Sikkens T0-40-30","t0-40-30","#255b82"
"Sikkens T0-40-20","t0-40-20","#154a6f"
"Sikkens T0-10-80","t0-10-80","#d0dceb"
"Sikkens T2-17-69","t2-17-69","#a7c2df"
"Sikkens T3-23-65","t3-23-65","#95b6df"
"Sikkens T0-30-50","t0-30-50","#5f8db4"
"Sikkens T0-30-40","t0-30-40","#4e7699"
"Sikkens T4-36-27","t4-36-27","#2e567f"
"Sikkens T0-30-30","t0-30-30","#375c79"
"Sikkens T0-30-20","t0-30-20","#264560"
"Sikkens T3-06-78","t3-06-78","#d1d9e3"
"Sikkens T0-13-64","t0-13-64","#a0b1c6"
"Sikkens T4-18-59","t4-18-59","#8ba4c4"
"Sikkens T3-20-50","t3-20-50","#768ead"
"Sikkens T0-23-48","t0-23-48","#6988a6"
"Sikkens T4-27-36","t4-27-36","#4d698c"
"Sikkens T4-40-30","t4-40-30","#235680"
"Sikkens T0-25-25","t0-25-25","#374f66"
"Sikkens T3-06-80","t3-06-80","#cdd7e3"
"Sikkens T0-10-70","t0-10-70","#afbfd0"
"Sikkens T0-10-60","t0-10-60","#93a2b1"
"Sikkens T3-14-55","t3-14-55","#8798ad"
"Sikkens T0-20-50","t0-20-50","#6f8aa3"
"Sikkens T0-20-40","t0-20-40","#5c748a"
"Sikkens T0-20-30","t0-20-30","#41596e"
"Sikkens T0-20-20","t0-20-20","#344557"
"Sikkens TN-02-82","tn-02-82","#e0e2e4"
"Sikkens S7-04-85","s7-04-85","#e3ebf3"
"Sikkens S7-05-75","s7-05-75","#c4ccd3"
"Sikkens S8-05-65","s8-05-65","#aab1b8"
"Sikkens T0-10-50","t0-10-50","#7f8a98"
"Sikkens T0-10-40","t0-10-40","#66717c"
"Sikkens T0-10-30","t0-10-30","#4f5964"
"Sikkens T0-10-20","t0-10-20","#3b424b"
"Sikkens UN-02-82","un-02-82","#e5e4e9"
"Sikkens UN-02-85","un-02-85","#e7e9ee"
"Sikkens UN-02-77","un-02-77","#d3d3d8"
"Sikkens U0-05-75","u0-05-75","#cdd1dc"
"Sikkens U0-05-65","u0-05-65","#aeb1bb"
"Sikkens U0-05-55","u0-05-55","#9397a0"
"Sikkens U0-05-45","u0-05-45","#7a7d85"
"Sikkens U0-05-35","u0-05-35","#61636a"
"Sikkens U0-04-84","u0-04-84","#e5e7ec"
"Sikkens T7-07-77","t7-07-77","#cbd2e3"
"Sikkens T9-07-67","t9-07-67","#b0b8c5"
"Sikkens U0-10-60","u0-10-60","#9fa5b7"
"Sikkens U0-10-50","u0-10-50","#80879a"
"Sikkens U0-10-40","u0-10-40","#6b7080"
"Sikkens U0-10-30","u0-10-30","#535966"
"Sikkens U0-10-20","u0-10-20","#3b3f49"
"Sikkens T9-07-82","t9-07-82","#dbe0f0"
"Sikkens T8-10-73","t8-10-73","#bec9de"
"Sikkens U0-15-65","u0-15-65","#a0b0d0"
"Sikkens U0-15-55","u0-15-55","#8695b0"
"Sikkens U0-20-50","u0-20-50","#7b8bae"
"Sikkens U0-20-40","u0-20-40","#60708e"
"Sikkens U0-20-30","u0-20-30","#465572"
"Sikkens U0-20-20","u0-20-20","#3c465c"
"Sikkens U0-10-70","u0-10-70","#b5c3d9"
"Sikkens U0-20-70","u0-20-70","#aabbdf"
"Sikkens U0-20-60","u0-20-60","#90a5ce"
"Sikkens U0-25-60","u0-25-60","#87a4d1"
"Sikkens U0-30-50","u0-30-50","#6f8cc2"
"Sikkens U0-30-40","u0-30-40","#536f9f"
"Sikkens U0-30-30","u0-30-30","#445b82"
"Sikkens U0-30-20","u0-30-20","#2e4062"
"Sikkens U2-09-75","u2-09-75","#bdc6dc"
"Sikkens U3-14-67","u3-14-67","#abb5d3"
"Sikkens U2-16-60","u2-16-60","#97a3c3"
"Sikkens U4-30-52","u4-30-52","#798cc9"
"Sikkens U0-40-40","u0-40-40","#4570ad"
"Sikkens U0-40-30","u0-40-30","#315689"
"Sikkens U0-40-20","u0-40-20","#244974"
"Sikkens U0-30-16","u0-30-16","#273752"
"Sikkens U3-07-78","u3-07-78","#c4ccde"
"Sikkens U3-20-64","u3-20-64","#afbfdd"
"Sikkens U3-19-64","u3-19-64","#9eaeda"
"Sikkens U4-25-55","u4-25-55","#8495c9"
"Sikkens U4-35-45","u4-35-45","#6179bc"
"Sikkens U5-44-35","u5-44-35","#3f62ad"
"Sikkens U5-19-25","u5-19-25","#2c385b"
"Sikkens U2-21-09","u2-21-09","#222b3c"
"Sikkens U7-03-81","u7-03-81","#d2d4de"
"Sikkens U6-06-73","u6-06-73","#c6c7d8"
"Sikkens U4-10-72","u4-10-72","#c1c8e0"
"Sikkens U6-18-63","u6-18-63","#a4abd7"
"Sikkens U6-26-46","u6-26-46","#717daf"
"Sikkens U7-27-36","u7-27-36","#5c6595"
"Sikkens U6-25-25","u6-25-25","#434c70"
"Sikkens U4-15-10","u4-15-10","#2a2d3a"
"Sikkens VN-02-85","vn-02-85","#e9e8ec"
"Sikkens U9-05-75","u9-05-75","#cbcbd9"
"Sikkens V0-15-65","v0-15-65","#b1b4d4"
"Sikkens V0-25-55","v0-25-55","#8990c7"
"Sikkens V0-37-42","v0-37-42","#6771b9"
"Sikkens V1-42-30","v1-42-30","#48549c"
"Sikkens V0-40-30","v0-40-30","#465294"
"Sikkens V0-47-19","v0-47-19","#2c3e7d"
"Sikkens V0-07-80","v0-07-80","#dddcec"
"Sikkens V0-10-70","v0-10-70","#bbbbd6"
"Sikkens V0-20-60","v0-20-60","#9d9fd0"
"Sikkens V0-20-50","v0-20-50","#898db6"
"Sikkens V0-25-45","v0-25-45","#7378a9"
"Sikkens V0-30-40","v0-30-40","#686faa"
"Sikkens V0-30-30","v0-30-30","#4c5384"
"Sikkens U9-30-20","u9-30-20","#3a406e"
"Sikkens V7-03-81","v7-03-81","#e1dee4"
"Sikkens V2-08-71","v2-08-71","#c3c2d9"
"Sikkens V5-14-60","v5-14-60","#a7a1c5"
"Sikkens V4-25-55","v4-25-55","#958ecb"
"Sikkens V5-25-45","v5-25-45","#7d75ac"
"Sikkens V0-25-35","v0-25-35","#60618d"
"Sikkens V0-25-25","v0-25-25","#474b73"
"Sikkens V3-35-14","v3-35-14","#2e2f61"
"Sikkens V8-04-79","v8-04-79","#d8d3e0"
"Sikkens V9-08-73","v9-08-73","#cdc4dc"
"Sikkens V9-11-69","v9-11-69","#bdb0d0"
"Sikkens V6-20-55","v6-20-55","#9b90c0"
"Sikkens V9-17-54","v9-17-54","#9387b5"
"Sikkens V8-23-44","v8-23-44","#8175a6"
